Effective Date,First Name,Last Name,Location,Job Name,GL Code,Labor Task,Deptment,Hours
2026-01-05,Dana,Whitfield,Plant 1,OVERHEAD - General Engineering,6000,PM - Coordination,Engineering,5.0
2026-01-05,Dana,Whitfield,Plant 1,24-1207 Northgate Transit Center,5100,QC - Shop Review,Engineering,0.5
2026-01-05,Dana,Whitfield,Plant 1,25-1130 Fairmount Stadium Risers,5120,ADMIN - Meetings,Engineering,2.5
2026-01-05,Marcus,Ohara,Plant 1,25-1002 Belmont Industrial Phase II,5110,QC - Shop Review,Engineering,8.0
2026-01-05,Priya,Raman,Plant 2,24-1207 Northgate Transit Center,5100,PM - Coordination,Engineering,8.0
2026-01-05,Tomas,Lindqvist,Plant 2,24-1207 Northgate Transit Center,5100,DRAFT - Erection Drawings,Drafting,8.0
2026-01-05,Alice,Boonyasak,Plant 1,24-1207 Northgate Transit Center,5100,QC - Shop Review,Drafting,5.5
2026-01-05,Alice,Boonyasak,Plant 1,24-1207 Northgate Transit Center,5100,DESIGN - Member Design,Drafting,2.0
2026-01-05,Alice,Boonyasak,Plant 1,24-1180 Riverside Parking Structure,5100,DRAFT - Piece Tickets,Drafting,0.5
2026-01-05,Ruben,Castellanos,Plant 3,25-1002 Belmont Industrial Phase II,5110,DESIGN - Member Design,Engineering,6.5
2026-01-05,Ruben,Castellanos,Plant 3,24-1207 Northgate Transit Center,5100,ADMIN - Meetings,Engineering,1.5
2026-01-05,Nia,Okonkwo,Plant 3,24-1180 Riverside Parking Structure,5100,DESIGN - Member Design,QC,8.0
2026-01-05,Sam,Petrov,Plant 2,OVERHEAD - Training,6010,DRAFT - Piece Tickets,QC,8.0
2026-01-05,Iris,Hollander,Plant 1,25-1091 Kestrel Logistics Hub,5120,DRAFT - Piece Tickets,Engineering,5.5
2026-01-05,Iris,Hollander,Plant 1,24-1180 Riverside Parking Structure,5100,ADMIN - Meetings,Engineering,2.5
2026-01-05,Kofi,Mensah,Plant 3,25-1130 Fairmount Stadium Risers,5120,PM - Coordination,Drafting,0.5
2026-01-05,Kofi,Mensah,Plant 3,OVERHEAD - General Engineering,6000,DRAFT - Piece Tickets,Drafting,7.5
2026-01-06,Dana,Whitfield,Plant 1,25-1044 Harborview Medical Deck,5110,DESIGN - Member Design,Engineering,8.0
2026-01-06,Priya,Raman,Plant 2,24-1207 Northgate Transit Center,5100,ADMIN - Meetings,Engineering,6.5
2026-01-06,Priya,Raman,Plant 2,25-1002 Belmont Industrial Phase II,5110,DRAFT - Erection Drawings,Engineering,1.5
2026-01-06,Tomas,Lindqvist,Plant 2,25-1091 Kestrel Logistics Hub,5120,DESIGN - Connection Design,Drafting,2.5
